,subject,session,sent_complexities,avg_sent_complex,sd_sent_complex
10,22,11,"[5, 8, 5, 5, 5, 5, 5, 5, 5, 5, 6, 5, 6, 10, 4, 5, 7, 5, 6, 5, 9, 5, 5, 4, 5, 5, 7, 5, 13, 7, 9, 5, 5, 6, 9, 6, 5, 6, 5, 11, 10, 5, 5, 6, 6, 5, 5, 5, 4, 4, 8, 5, 5, 7, 6, 6, 8, 13, 11, 5, 6, 9, 7, 5, 4, 5, 5, 6, 7, 7, 7, 8, 12, 13, 9, 11, 6, 6, 7, 9, 5, 11, 7, 8, 5, 6, 5, 6, 8, 5]",6.533333333333333,2.196967607104544
11,22,12,"[4, 7, 6, 6, 9, 10, 9, 9, 8, 9, 7, 10, 12, 12, 6, 6, 8, 5, 7, 9, 9, 6, 8, 9, 10, 9, 10, 7, 8, 13, 8, 10, 10, 13, 5, 7, 10, 7, 12, 12, 6, 7, 11, 8, 9, 5, 9, 8, 7, 9, 5, 6, 9, 8, 5, 9, 6, 10, 4, 7, 9, 10, 9, 4, 9, 10, 9, 7, 6, 13, 9, 9, 10, 9, 5, 6, 6, 11, 6, 7, 6, 5, 9, 5, 6, 6, 6, 6, 10, 7]",8.0,2.1756225162774294
12,24,1,"[4, 5, 5, 4, 5, 5, 7, 9, 6, 6, 6, 6, 6, 6, 6, 6, 7, 5, 8, 6, 5, 6, 5, 5, 5, 5, 6, 6, 5, 8, 7, 5, 5, 4, 5, 6, 6, 6, 5, 8, 6, 5, 5, 5, 6, 7, 9, 9, 8, 9, 6, 4, 4, 6, 6, 7, 8, 9, 5, 7, 5, 6, 5, 6, 6, 10, 6, 6, 5, 5, 7, 6, 5, 4, 9, 5, 10, 8, 7, 9, 5, 4, 4, 8, 5, 9, 5, 5, 6, 7]",6.111111111111111,1.4940210056863654
13,24,2,"[6, 5, 4, 5, 5, 6, 5, 10, 8, 5, 5, 8, 10, 6, 9, 5, 5, 8, 6, 5, 5, 6, 12, 5, 5, 6, 4, 8, 8, 5, 8, 5, 9, 10, 10, 7, 5, 4, 6, 8, 7, 9, 6, 5, 4, 5, 7, 7, 5, 6, 7, 8, 8, 5, 5, 6, 6, 6, 12, 9, 6, 9, 9, 9, 5, 8, 6, 5, 10, 8, 8, 9, 8, 9, 6, 5, 8, 6, 6, 9, 6, 9, 9, 10, 7, 7, 4, 7, 5, 5]",6.811111111111111,1.9025973150432745
14,24,3,"[5, 6, 6, 5, 5, 4, 7, 6, 6, 11, 7, 6, 6, 4, 7, 5, 6, 5, 6, 11, 6, 9, 6, 9, 6, 5, 9, 9, 6, 6, 8, 5, 5, 4, 4, 10, 6, 5, 5, 5, 5, 5, 6, 4, 5, 5, 15, 6, 5, 6, 5, 6, 6, 4, 5, 10, 9, 7, 7, 6, 4, 7, 5, 6, 8, 7, 6, 11, 6, 5, 6, 6, 5, 6, 5, 7, 7, 8, 4, 7, 5, 5, 10, 4, 7, 6, 5, 6, 7, 6]",6.288888888888889,1.9046402077525442
15,24,4,"[7, 9, 9, 6, 4, 7, 5, 5, 5, 5, 5, 4, 5, 5, 7, 6, 6, 4, 8, 5, 6, 5, 4, 5, 6, 6, 6, 6, 8, 5, 7, 11, 5, 8, 6, 8, 5, 6, 5, 5, 9, 6, 6, 6, 5, 6, 5, 4, 5, 5, 5, 5, 9, 6, 4, 6, 6, 6, 9, 7, 6, 6, 6, 8, 6, 8, 4, 8, 5, 6, 6, 6, 4, 6, 4, 8, 8, 4, 7, 4, 6, 8, 6, 5, 6, 10, 9, 4, 9, 9]",6.133333333333334,1.5930404193798027
16,24,5,"[5, 6, 5, 7, 6, 9, 9, 7, 5, 6, 4, 4, 4, 14, 6, 6, 6, 8, 5, 7, 5, 5, 7, 5, 8, 6, 8, 9, 6, 5, 6, 8, 4, 7, 8, 6, 6, 5, 5, 5, 6, 7, 5, 5, 6, 9, 7, 6, 6, 6, 6, 4, 6, 6, 6, 6, 10, 5, 8, 5, 5, 8, 6, 9, 6, 7, 6, 8, 8, 7, 8, 5, 4, 8, 10, 5, 5, 6, 5, 9, 5, 10, 6, 5, 8, 6, 5, 7, 6, 5]",6.4,1.6918103387266028
17,24,6,"[9, 8, 5, 5, 5, 9, 7, 5, 5, 5, 5, 5, 6, 5, 13, 5, 8, 5, 5, 8, 9, 5, 5, 4, 6, 5, 6, 8, 8, 8, 5, 7, 7, 5, 10, 5, 5, 4, 6, 5, 5, 7, 5, 7, 6, 7, 7, 6, 6, 9, 8, 6, 6, 4, 9, 6, 5, 7, 6, 4, 7, 6, 5, 9, 5, 4, 5, 9, 6, 5, 6, 6, 5, 5, 10, 5, 13, 5, 5, 5, 11, 8, 7, 8, 7, 7, 5, 5, 5, 5]",6.344444444444444,1.8628598749181986
18,24,7,"[5, 5, 11, 6, 10, 8, 10, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 6, 5, 5, 5, 5, 5, 7, 7, 5, 5, 6, 10, 4, 8, 6, 5, 7, 8, 9, 6, 11, 11, 5, 6, 6, 10, 5, 9, 9, 5, 6, 5, 9, 5, 9, 5, 8, 5, 5, 7, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 6, 7, 6, 6, 6, 6, 5, 5, 6, 6, 6, 9, 5, 5, 8, 6, 6, 6, 6, 6, 5]",6.166666666666667,1.7336538165261124
19,24,8,"[5, 8, 5, 7, 4, 6, 7, 11, 5, 6, 9, 5, 7, 8, 7, 6, 6, 6, 7, 8, 5, 4, 5, 5, 6, 12, 8, 6, 12, 10, 11, 5, 5, 7, 8, 11, 9, 5, 5, 13, 6, 18, 14, 17, 5, 5, 5, 5, 5, 6, 5, 7, 6, 4, 5, 7, 7, 5, 6, 9, 9, 11, 10, 6, 6, 10, 9, 14, 15, 7, 23, 6, 7, 9, 19, 6, 5, 5, 5, 5, 12, 10, 5, 7, 5, 9, 5, 12, 4, 7]",7.722222222222222,3.590195840457663
20,24,9,"[5, 6, 5, 6, 8, 8, 8, 7, 6, 5, 6, 6, 5, 4, 6, 12, 7, 6, 8, 6, 6, 6, 6, 4, 6, 4, 10, 6, 6, 8, 6, 6, 5, 4, 4, 7, 6, 6, 6, 7, 9, 11, 7, 4, 6, 7, 4, 6, 6, 5, 5, 5, 5, 6, 6, 6, 5, 5, 6, 7, 5, 6, 5, 6, 5, 5, 6, 8, 5, 9, 5, 10, 6, 6, 12, 9, 5, 6, 8, 4, 5, 7, 5, 6, 7, 10, 9, 7, 5, 5]",6.3,1.7156145643277025
21,24,10,"[6, 6, 7, 4, 4, 6, 5, 6, 6, 5, 6, 5, 11, 9, 5, 4, 5, 9, 5, 7, 7, 5, 6, 6, 6, 5, 6, 11, 5, 9, 4, 8, 5, 14, 5, 5, 6, 5, 10, 7, 5, 8, 8, 6, 5, 5, 5, 8, 5, 6, 9, 10, 12, 6, 5, 5, 11, 9, 6, 10, 5, 10, 7, 5, 7, 5, 5, 5, 5, 6, 6, 6, 8, 6, 9, 6, 5, 5, 12, 7, 7, 4, 6, 10, 6, 6, 7, 12, 5, 5]",6.644444444444445,2.166980034318683
22,24,11,"[5, 5, 9, 6, 10, 15, 5, 5, 6, 5, 6, 5, 6, 6, 9, 5, 6, 5, 7, 5, 6, 6, 6, 7, 15, 5, 5, 13, 9, 9, 6, 9, 9, 12, 6, 8, 5, 5, 5, 8, 9, 9, 8, 7, 7, 7, 9, 6, 5, 9, 6, 5, 5, 12, 6, 10, 11, 7, 16, 11, 10, 10, 13, 5, 9, 6, 10, 6, 5, 6, 5, 5, 6, 13, 7, 7, 8, 9, 7, 5, 7, 6, 7, 10, 5, 6, 5, 7, 8, 4]",7.411111111111111,2.615740576860041
