,author,title,sent_complexity,avg_sent_complex,stdev_sent_complex
14, Jacqueline Woodson,The Other Side,"[10, 9, 7, 11, 9, 10, 8, 6, 8, 9, 12, 13, 5, 5, 9, 14, 9, 8, 9, 6, 6, 7, 15, 7, 9, 10, 11, 7, 6, 6, 10, 9, 7, 6, 6, 10, 5, 9, 4, 10, 9, 6, 6, 5, 10, 11, 10, 7, 9, 14, 7, 12, 6, 9, 11, 7, 11, 6, 16, 5, 15, 6, 8, 10, 8, 13, 12, 12, 5, 8, 6]",8.690140845070422,2.750628861750026
15, Ludwig Bemelmans,Madeline,"[12, 9, 9, 10, 9, 11, 9, 9, 12, 9, 10, 8, 9, 6, 12, 8, 10, 7, 17, 8, 12, 12, 9, 15, 11, 5, 10, 9, 6, 11]",9.8,2.4684678108764824
16, Robert McCloskey,Make Way for Ducklings,"[9, 15, 15, 6, 10, 9, 9, 5, 9, 8, 14, 10, 8, 9, 12, 16, 12, 8, 8, 11, 9, 7, 10, 10, 12, 9, 8, 7, 9, 9, 8, 9, 10, 9, 15, 11, 11, 14, 12, 6, 10, 8, 12, 23, 5, 13, 7, 13, 10, 5, 7, 13, 9, 7, 10, 8, 11, 9, 5, 7, 5, 11, 5, 4, 4, 4, 9, 12, 12, 14, 12, 13, 9, 6, 4, 6, 14, 5, 9, 15, 11, 11, 13, 11, 7, 10, 13, 7, 9]",9.606741573033707,3.272692522823652
17, David Shannon,"No, David!","[8, 4, 4, 5, 5, 5, 4, 4, 4, 6, 5, 6, 7, 7, 7, 6, 7, 6, 7, 8, 6, 5, 4, 4, 6]",5.6,1.296148139681572
18, Jane Yolen,Own Moon,"[13, 6, 7, 12, 7, 9, 7, 7, 8, 9, 8, 7, 12, 6, 16, 16, 9, 9, 9, 7, 13, 12, 6, 5, 11, 6, 6, 6, 10, 6, 15, 8, 6, 10, 7, 10, 6, 10, 17, 10, 7, 8, 13, 8, 10, 14, 12, 10, 11, 12, 5, 13, 8, 15, 7, 10, 16, 6, 12, 7, 8, 7, 9, 10, 9, 12, 8, 11]",9.441176470588236,3.0116555586840024
19, Janell Cannon,Stellaluna,"[8, 6, 10, 16, 11, 7, 10, 7, 7, 8, 10, 9, 5, 6, 7, 5, 5, 11, 8, 9, 6, 6, 11, 5, 5, 7, 8, 7, 8, 5, 5, 10, 8, 9, 6, 12, 9, 10, 6, 5, 7, 11, 8, 10, 15, 5, 9, 7, 10, 8, 6, 6, 15, 7, 5, 8, 7, 7, 9, 5, 8, 9, 9, 8, 7, 11, 11, 7, 12, 11, 8, 12, 6, 5, 7, 9, 7, 9, 5, 6, 7, 9, 5, 6, 8, 8, 6, 9, 9, 4, 4, 9, 14, 7, 9, 6, 8, 6, 8, 5, 4, 9, 7, 9, 5, 10, 6, 7, 6, 7, 10, 11, 16, 9, 10, 8, 8, 8, 10, 6, 10, 11, 12, 18, 8, 9, 9, 12, 15, 9, 7, 9, 9, 7, 11, 10, 4, 8, 6, 6, 11, 9, 9, 8, 7, 9, 5, 12, 12, 5, 9, 9, 6, 10, 4, 10, 9, 6, 6, 11, 17, 9, 11, 7, 9, 13, 11, 12, 11, 17, 11, 12, 13, 10, 7]",8.485714285714286,2.7461290009385793
20, William Steig,Sylvester and the Magic Pebble,"[9, 9, 7, 9, 11, 13, 6, 10, 5, 11, 9, 12, 10, 13, 5, 12, 7, 5, 10, 10, 9, 15, 10, 10, 19, 6, 14, 15, 9, 13, 9, 7, 11, 12, 13, 15, 7, 6, 7, 18, 14, 10, 6, 6, 7, 9, 8, 6, 14, 8, 10, 11, 20, 8, 9, 9, 7, 7, 9, 11, 8, 8, 13, 11, 8, 13, 11, 6, 8, 9, 7, 8, 12, 7, 6, 8, 8, 6, 7, 5, 14, 15, 5, 7, 7, 6, 10, 11, 14, 7, 7, 10, 11, 4, 9, 6, 6, 7, 13, 6, 6, 5, 10, 7, 8, 12, 6, 21, 10, 9, 13, 13, 7, 10, 5, 12, 7, 12, 5, 7, 11, 11, 14, 8, 4]",9.392,3.33441689055223
21, Shel Silverstein,The Giving Tree,"[6, 4, 4, 6, 12, 9, 9, 8, 6, 4, 4, 5, 6, 6, 6, 6, 16, 11, 10, 6, 6, 10, 6, 8, 9, 8, 6, 7, 4, 4, 6, 12, 14, 14, 8, 6, 10, 9, 10, 10, 6, 7, 10, 8, 13, 13, 6, 8, 7, 4, 4, 7, 8, 6, 4, 4, 5, 6, 12, 10, 10, 11, 10, 13, 7, 10, 4, 4, 6, 6, 6, 4, 4, 11, 6, 11, 6, 7, 5, 6, 4]",7.530864197530864,2.910544557902009
22, Chris Van Allsburg,The Polar Express,"[7, 7, 7, 15, 11, 8, 10, 12, 10, 7, 11, 8, 7, 7, 9, 7, 9, 6, 5, 8, 7, 7, 11, 12, 7, 9, 10, 11, 15, 6, 10, 13, 7, 9, 9, 5, 18, 6, 11, 13, 7, 5, 5, 10, 11, 8, 12, 10, 9, 9, 6, 13, 13, 7, 6, 12, 7, 6, 12, 14, 13, 13, 7, 11, 7, 13, 9, 8, 7, 11, 8, 8, 10, 9, 8, 14, 8, 7, 10, 8, 8, 10, 6, 6, 7, 8, 8, 6, 12, 8, 6, 9, 7, 9, 10, 9, 8, 10, 10, 10, 13]",9.089108910891088,2.591299264698604
23, Rod Campbell,Dear Zoo,"[9, 6, 4, 4, 6, 6, 6, 4, 4, 6, 6, 6, 4, 4, 6, 6, 6, 4, 4, 6, 6, 6, 4, 4, 6, 6, 6, 4, 4, 6, 6, 6, 4, 4, 6, 6, 7, 4, 4, 6, 6]",5.317073170731708,1.1569308512811145
